127.0.0.1 - - [18/Oct/2023:19:11:03 -0300] "GET / HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:11:04 -0300] "GET /Agenda/ HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:11:04 -0300] "GET /favicon.ico HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:38:43 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:38:44 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:38:44 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:50:11 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:53:15 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:55:39 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:55:40 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:55:40 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:55:40 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:55:40 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:55:41 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:55:41 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:55:41 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:55:41 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:55:41 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:55:41 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:55:42 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:55:42 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:19:55:42 -0300] "GET /Agenda/ HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [18/Oct/2023:20:40:40 -0300] "GET /Agenda/ HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [18/Oct/2023:20:40:41 -0300] "GET /Agenda/ HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [18/Oct/2023:20:42:04 -0300] "GET /Agenda/ HTTP/1.1" 200 192
0:0:0:0:0:0:0:1 - - [18/Oct/2023:20:49:25 -0300] "GET /Agenda/ HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [18/Oct/2023:20:49:26 -0300] "GET /Agenda/ HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [18/Oct/2023:20:53:46 -0300] "GET /Agenda/ HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [18/Oct/2023:20:53:59 -0300] "GET /Agenda/ HTTP/1.1" 200 213
0:0:0:0:0:0:0:1 - - [18/Oct/2023:21:06:10 -0300] "GET /Agenda/ HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [18/Oct/2023:21:06:14 -0300] "GET /Agenda/ HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [18/Oct/2023:21:06:15 -0300] "GET /Agenda/ HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [18/Oct/2023:21:06:15 -0300] "GET /Agenda/ HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [18/Oct/2023:21:06:16 -0300] "GET /Agenda/ HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [18/Oct/2023:21:06:16 -0300] "GET /Agenda/ HTTP/1.1" 200 537
